country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,39640,39970,40620,41430,41970,39140,40860,42540,41770,41050
Belgium,36860,37110,37510,38040,38760,36740,38870,40190,40330,40500
Bulgaria,6560,6840,7130,7410,7800,7620,8270,8660,8850,9110
Croatia,10810,11280,11770,12230,12940,11970,13580,14580,14980,15580
Cyprus,20810,22060,23130,24300,25390,24240,26600,27990,28220,28730
Czechia,16230,16640,17490,17960,18570,17670,18380,18450,18240,18420
Denmark,47900,48970,50150,50830,51500,50470,53970,54310,55280,57040
Estonia,16000,16460,17390,17990,18580,17990,19260,19240,18200,18030
Finland,38350,39230,40430,40860,41370,40270,41270,41470,40920,40580
France,33200,33360,33920,34320,34880,32170,34260,35040,35260,35540
Germany,37770,38330,39220,39540,39840,38180,39570,39820,39380,39200
Greece,16210,16270,16540,16920,17320,15760,17220,18310,18800,19250
Hungary,11520,11850,12380,13100,13780,13210,14230,14870,14770,14890
Ireland,58040,58050,62970,66760,69040,73000,83910,89250,82780,82410
Italy,27620,28010,28510,28810,29000,26560,29080,30550,30780,31010
Latvia,12010,12430,12970,13630,13820,13430,14480,14730,15190,15290
Lithuania,12860,13360,14150,14970,15710,15720,16740,17020,16840,17210
Luxembourg,95090,97300,96460,96110,96730,94770,99760,96540,94080,93550
Malta,23000,23400,25710,26600,26570,25140,28330,28770,29530,30340
Netherlands,41270,42050,42970,43680,44390,42440,44870,46670,46240,46390
Poland,11390,11740,12340,13120,13720,13720,14750,15190,15290,15800
Portugal,17280,17670,18280,18830,19310,17680,18620,19800,20110,20300
Romania,8090,8370,9100,9720,10140,9820,10450,10910,11170,11260
Slovakia,14820,15090,15500,16110,16450,16010,16980,17000,17370,17720
Slovenia,18660,19210,20190,21010,21570,20560,22230,22810,23170,23470
Spain,23440,24100,24750,25230,25520,22610,24120,25380,25730,26300
Sweden,46170,46700,46880,47220,47910,46640,49110,49300,48910,49210
