country_name;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Austria;13,2;7,5;5,1;4,0;4,6;4,4;5,8;15,1;7,2;:
Belgium;5,5;2,4;3,2;4,3;5,0;3,9;4,9;10,9;7,6;:
Bulgaria;-6,7;-6,8;-6,8;-7,0;-7,3;4,3;6,3;4,2;6,4;:
Croatia;-8,0;-9,3;-11,7;-7,5;-4,9;-4,9;-1,2;3,0;7,8;:
Cyprus;-2,4;2,9;7,2;9,3;10,0;5,0;6,2;14,3;9,9;:
Czechia;1,5;1,9;2,7;3,6;4,1;2,5;4,8;30,9;8,7;:
Denmark;7,4;5,7;4,2;3,2;1,6;1,9;4,6;10,2;5,0;:
Estonia;1,8;0,8;4,0;5,3;4,1;2,8;5,3;29,5;10,1;:
Finland;2,3;3,1;2,4;2,1;2,8;3,2;4,1;6,1;10,4;:
France;-0,4;-0,3;0,8;1,7;0,6;2,8;2,2;2,4;2,7;:
Germany;14,3;5,6;5,1;4,8;3,7;2,4;3,7;17,3;-6,9;:
Greece;-4,2;1,0;0,8;1,6;3,3;0,6;-15,2;1,7;3,8;:
Hungary;0,3;-0,8;1,1;2,5;2,7;1,0;2,2;3,8;2,7;:
Ireland;2,8;8,3;5,2;11,2;8,8;6,1;12,0;18,7;10,0;:
Italy;0,5;0,7;1,0;10,2;0,7;-1,2;1,6;4,9;4,6;:
Latvia;-5,4;-6,2;-4,0;-2,5;-1,8;-1,7;-0,2;11,7;1,3;:
Lithuania;-6,7;-8,7;-7,3;-0,4;3,9;7,4;7,0;25,5;15,7;:
Luxembourg;19,6;16,2;15,8;16,3;16,6;10,7;13,2;20,5;14,0;:
Malta;22,4;18,9;31,5;35,9;42,1;1,8;7,4;41,0;37,9;:
Netherlands;3,2;4,6;4,7;5,0;6,2;3,9;6,1;12,6;7,6;:
Poland;-0,3;0,3;0,1;0,6;0,5;-20,3;0,1;0,2;0,1;:
Portugal;-0,3;-0,1;1,4;2,3;6,5;5,6;6,9;13,0;14,7;:
Romania;-2,5;-3,2;-3,0;-2,9;-1,3;-1,4;-0,9;5,6;5,2;:
Slovakia;0,6;0,7;0,7;0,7;0,7;0,8;-1,5;0,2;0,3;:
Slovenia;0,2;0,5;0,6;7,2;7,8;8,7;1,2;6,9;5,4;:
Spain;-0,1;1,7;3,8;7,0;9,7;5,0;4,2;15,3;13,2;:
Sweden;8,1;11,9;10,1;8,5;7,0;3,5;4,9;5,6;2,3;:
