country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,6.1,6.5,5.9,5.2,4.8,6.0,6.2,4.8,5.1,5.2
Belgium,8.7,7.9,7.2,6.0,5.5,5.8,6.3,5.6,5.5,5.7
Bulgaria,10.1,8.6,7.2,6.2,5.2,6.1,5.2,4.2,4.3,4.2
Croatia,16.2,13.0,11.1,8.3,6.6,7.4,7.5,6.8,6.1,5.0
Cyprus,15.0,13.0,11.1,8.4,7.2,7.6,7.2,6.3,5.8,4.9
Czechia,5.1,4.0,2.9,2.2,2.0,2.6,2.8,2.2,2.6,2.6
Denmark,6.3,6.0,5.8,5.1,5.0,5.6,5.1,4.5,5.1,6.2
Estonia,6.4,6.8,5.8,5.4,4.5,6.9,6.2,5.6,6.4,7.6
Finland,9.4,8.9,8.7,7.5,6.8,7.7,7.7,6.8,7.2,8.4
France,10.3,10.1,9.4,9.0,8.4,8.0,7.9,7.3,7.3,7.4
Germany,4.4,3.9,3.6,3.2,3.0,3.7,3.7,3.2,3.1,3.4
Greece,25.0,23.9,21.8,19.7,17.9,17.6,14.7,12.5,11.1,10.1
Hungary,6.6,5.0,4.0,3.6,3.3,4.1,4.0,3.6,4.1,4.5
Ireland,9.9,8.4,6.7,5.8,5.0,5.9,6.2,4.5,4.3,4.3
Italy,12.0,11.7,11.3,10.6,9.9,9.3,9.5,8.1,7.7,6.5
Latvia,9.9,9.7,8.7,7.4,6.3,8.1,7.6,6.9,6.5,6.9
Lithuania,9.1,7.9,7.1,6.2,6.3,8.5,7.1,6.0,6.9,7.1
Luxembourg,6.7,6.3,5.5,5.6,5.6,6.8,5.3,4.6,5.2,6.4
Malta,5.4,4.7,4.0,4.0,4.1,4.9,3.8,3.5,3.5,3.1
Netherlands,7.9,7.0,5.9,4.9,4.4,4.9,4.2,3.5,3.6,3.7
Poland,7.7,6.3,5.0,3.9,3.3,3.2,3.4,2.9,2.8,2.9
Portugal,13.0,11.5,9.2,7.2,6.6,7.1,6.7,6.2,6.5,6.5
Romania,8.4,7.2,6.1,5.3,4.9,6.1,5.6,5.6,5.6,5.4
Slovakia,11.5,9.6,8.1,6.5,5.7,6.7,6.8,6.1,5.8,5.3
Slovenia,9.0,8.0,6.6,5.1,4.4,5.0,4.8,4.0,3.7,3.7
Spain,22.1,19.6,17.2,15.3,14.1,15.5,14.9,13.0,12.2,11.4
Sweden,7.5,7.1,6.8,6.5,6.9,8.5,8.9,7.5,7.7,8.4
